"FID","id","old_id","area","perimeter","prov","depto","nomdepto","link","ind01","ind03","ind04","ind05","ind06","ind07","ind08","ind09","ind10","ind11","ind12","ind13","ind14","ind15","nomprov"
"departamentos.fid--bb562cf_17950c2b895_-355",1,1,"7.687.759.032.574","1.327.967.403",94,15,"Ushuaia",94015,30656,99.7,0.3,37,56.2,30,0,5.6,0.1,0.6,0,0.1,0.4,5.1,"Tierra del Fuego, Antártida e Islas del Atlántico Sur"
"departamentos.fid--bb562cf_17950c2b895_-354",2,1,"6.442.353.954.625","451.601.571",94,11,"Tolhuin",94011,2574,98.6,1.4,57.6,37.1,0.4,2.7,0,0,1.7,0.2,0.4,0.4,15.1,"Tierra del Fuego, Antártida e Islas del Atlántico Sur"
"departamentos.fid--bb562cf_17950c2b895_-353",3,1,"6.567.791.832.399","599.296.017",94,8,"Río Grande",94008,36493,99.9,0.1,47.8,49.8,20.9,0,0,0.2,1.7,0,0.2,0.3,0.3,"Tierra del Fuego, Antártida e Islas del Atlántico Sur"
"departamentos.fid--bb562cf_17950c2b895_-352",4,1,"33.650.150.877.395","1.112.109.938",78,21,"Güer Aike",78021,52198,99.9,0.1,58.7,35.7,15,0,0,0.5,4.5,0,0.1,0.5,3.3,"Santa Cruz"
"departamentos.fid--bb562cf_17950c2b895_-351",5,1,"20.322.994.087.055","753.232.634",78,42,"Magallanes",78042,4770,99.6,0.4,73,22.1,0,0,0,0,4.3,0,0.2,0.4,4.2,"Santa Cruz"
"departamentos.fid--bb562cf_17950c2b895_-350",6,1,"26.250.475.492.666","876.806.517",78,7,"Corpen Aike",78007,6296,99.2,0.8,66.5,27,0,0,0,0.2,5.3,0,0.3,0.6,4.4,"Santa Cruz"
"departamentos.fid--bb562cf_17950c2b895_-34f",7,1,"33.967.270.538.054","833.281.306",78,49,"Río Chico",78049,2070,98.9,1.1,68.4,27.8,0,0,0,1,2.1,0,0.4,0.2,11,"Santa Cruz"
"departamentos.fid--bb562cf_17950c2b895_-34e",8,1,"38.594.910.736.122","995.618.838",78,28,"Lago Argentino",78028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Santa Cruz"
"departamentos.fid--bb562cf_17950c2b895_-34d",9,1,"28.534.679.434.548","855.588.126",78,35,"Lago Buenos Aires",78035,4313,99.3,0.7,64.1,34.2,0,0,0,0,0.9,0,0.2,0.6,8.3,"Santa Cruz"
"departamentos.fid--bb562cf_17950c2b895_-34c",10,1,"63129179470.56","1398255.15",78,14,"Deseado",78014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Santa Cruz"
"departamentos.fid--bb562cf_17950c2b895_-34b",11,1,"14.274.118.836.132","659.384.289",26,21,"Escalante",26021,88672,99.9,0.1,51.2,45.6,16.1,0,0,0.6,2.2,0,0.2,0.2,7.3,"Chubut"
"departamentos.fid--bb562cf_17950c2b895_-34a",12,1,"15.860.125.283.311","877415.58",26,28,"Florentino Ameghino",26028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chubut"
"departamentos.fid--bb562cf_17950c2b895_-349",13,1,"22.222.447.538.472","624.947.102",26,70,"Paso de Indios",26070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chubut"
"departamentos.fid--bb562cf_17950c2b895_-348",14,1,"14.547.118.480.354","491544.99",26,91,"Sarmiento",26091,5151,99.7,0.3,66.8,29.9,0,0,0,0.3,2.5,0,0.1,0.4,9.8,"Chubut"
"departamentos.fid--bb562cf_17950c2b895_-347",15,1,"22.873.438.283.186","827.078.638",26,84,"Río Senguer",26084,1214,99.7,0.3,90.2,8.3,0,0,0,0,1.2,0,0.2,0,14.3,"Chubut"
"departamentos.fid--bb562cf_17950c2b895_-346",16,1,"14.596.154.712.821","603.009.108",26,98,"Tehuelches",26098,1116,99.3,0.7,85.6,12.2,0,0,0,0,1.2,0,0.5,0.5,4.8,"Chubut"
"departamentos.fid--bb562cf_17950c2b895_-345",17,1,"14.788.383.769.698","684.629.164",26,56,"Languiñeo",26056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chubut"
"departamentos.fid--bb562cf_17950c2b895_-344",18,1,"9.153.435.876.423","558.152.458",26,35,"Futaleufú",26035,18711,99.3,0.7,60.3,37.5,1.9,0,0,0,1.1,0,0.5,0.6,5.4,"Chubut"
"departamentos.fid--bb562cf_17950c2b895_-343",19,1,"16.295.403.831.226","697.030.289",26,14,"Cushamen",26014,5181,97.6,2.4,80.5,17.3,0,0,0,0,1.2,0,0.4,0.6,40.8,"Chubut"
"departamentos.fid--bb562cf_17950c2b895_-342",20,1,"15.980.284.762.259","628.379.052",26,49,"Gastre",26049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chubut"
"departamentos.fid--bb562cf_17950c2b895_-341",27,1,"9.789.538.031.926","457.385.338",62,28,"Conesa",62028,2696,99.4,0.6,74.8,22.3,0,0,0,0,1.8,0,0.6,0.5,3.1,"Río Negro"
"departamentos.fid--bb562cf_17950c2b895_-340",59,1,"8.803.951.556.536","376.158.314",42,49,"Chalileo",42049,1285,97.3,2.7,87.5,7.9,0,0,0,0.6,3.5,0,0.4,0,9.2,"La Pampa"
"departamentos.fid--bb562cf_17950c2b895_-33f",21,1,"15.637.538.613.782","592.935.603",26,63,"Mártires",26063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chubut"
"departamentos.fid--bb562cf_17950c2b895_-33e",22,1,"11.618.544.987.838","481.234.933",26,42,"Gaiman",26042,3958,99.8,0.2,77.4,20.1,5.2,0,0,0,1.9,0,0.3,0.3,9.8,"Chubut"
"departamentos.fid--bb562cf_17950c2b895_-33d",23,1,"4.135.397.844.782","343.370.934",26,77,"Rawson",26077,60458,99.9,0.1,67.9,30,25.9,0,0,0.1,1.1,0.2,0.3,0.4,1.4,"Chubut"
"departamentos.fid--bb562cf_17950c2b895_-33c",24,1,"12.895.225.087.065","808.167.159",26,7,"Biedma",26007,38942,99.6,0.4,53.4,44.7,27.1,0,0,0,1.3,0,0.4,0.2,5.3,"Chubut"
"departamentos.fid--bb562cf_17950c2b895_-33b",25,1,"19.439.494.068.754","593.324.117",26,105,"Telsen",26105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chubut"
"departamentos.fid--bb562cf_17950c2b895_-33a",26,1,"14.335.683.589.768","799.922.208",62,77,"San Antonio",62077,16605,91.5,8.5,68,23.9,19,1.1,0,0,2.7,1.4,2.3,0.6,3,"Río Negro"
"departamentos.fid--bb562cf_17950c2b895_-339",48,1,"15.670.875.305.554","578.294.988",62,63,"Pichi Mahuida",62063,6094,99.6,0.4,80.6,15.5,12.6,0,0,0,2.5,0,0.4,1,2.1,"Río Negro"
"departamentos.fid--bb562cf_17950c2b895_-338",49,1,"12.477.755.193.308","488.450.455",42,84,"Lihuel Calel",42084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"La Pampa"
"departamentos.fid--bb562cf_17950c2b895_-337",50,1,"13.513.136.853.929","539.067.828",42,42,"Curacó",42042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"La Pampa"
"departamentos.fid--bb562cf_17950c2b895_-336",51,1,"14.618.995.424.156","666272.75",62,42,"General Roca",62042,134288,99.9,0.1,64.2,33.2,22.2,0.9,0,0.1,1.1,0,0.3,0.2,4.9,"Río Negro"
"departamentos.fid--bb562cf_17950c2b895_-335",52,1,"13.096.579.423.701","590.125.291",42,112,"Puelén",42112,3768,99.9,0.1,83.1,14.3,0,0,0,0,2.3,0,0.3,0,6,"La Pampa"
"departamentos.fid--bb562cf_17950c2b895_-334",28,1,"21132231132.32","648851.79",62,84,"Valcheta",62084,2069,99.7,0.3,81.2,10.9,0,0,0,0.6,3.7,0,2,1.6,7.1,"Río Negro"
"departamentos.fid--bb562cf_17950c2b895_-333",29,1,"24.064.048.576.516","690.640.585",62,49,"9 de julio",62049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Río Negro"
"departamentos.fid--bb562cf_17950c2b895_-332",30,1,"27.642.287.322.829","718.442.677",62,91,"25 de mayo",62091,6057,99.8,0.2,81.3,14.6,0,0,0,0,2.7,0,0.5,0.9,5,"Río Negro"
"departamentos.fid--bb562cf_17950c2b895_-331",31,1,"8.243.292.131.922","414482.56",62,56,"Ñorquinco",62056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Río Negro"
"departamentos.fid--bb562cf_17950c2b895_-330",32,1,"5.422.650.368.154","402.533.511",62,21,"Bariloche",62021,70767,99.1,0.9,39.6,54.3,20.7,0.8,1.3,0.1,2.9,0,0.4,0.6,4.5,"Río Negro"
"departamentos.fid--bb562cf_17950c2b895_-32f",33,1,"4.213.097.879.703","361.762.743",58,70,"Los Lagos",58070,6601,96.6,3.4,53,42,2.7,2.6,0,0,1.8,0,0.3,0.2,11.8,"Neuquén"
