"X","LINK_DEPTO","provincia_GBA","depto_first","pc_hog","pc_per","p_pc_per","p_pc_hog","pc_incid_v3","n_hogares","poblacion","PEA","p_hac4_hog","p_casaB_hog","p_defclo_hog","p_jprimcom_hog","p_jsecinc_hog","p_n_noasist","p_def_sal2_per","IDPROV","PROV","IDDPTO","DPTO","Departamentos_Comunas_poblacion_total","Departamentos_Comunas_hogares_total","Departamentos_Comunas_latitud_centroide","Departamentos_Comunas_longitud_centroide","Departamentos_Comunas_superficie_km2"
1,2001,"Ciudad de Buenos Aires","Comuna 01",1166,6690,3.55321861,1.38040441,"Bajo (1 - 4,99%)",84468,188280,119373,3.4948146,12.73973576,4.50229673,18.93379741,31.01529573,4.3084096,27.79044714,2,"Ciudad Autónoma de Buenos Aires",2001,"Comuna 1",205886,84468,-34.606365,-58.371709,17.77434361
2,2002,"Ciudad de Buenos Aires","Comuna 02",48,278,0.18524812,0.06561321,"Muy bajo (0 - 0,99%)",73156,150069,96398,0.44562305,1.4393898,0.6137569,6.84427798,11.65317951,1.49579074,7.56564589,2,"Ciudad Autónoma de Buenos Aires",2002,"Comuna 2",157932,73156,-34.585876,-58.394997,6.276148445
3,2003,"Ciudad de Buenos Aires","Comuna 03",460,2668,1.46982668,0.57150667,"Bajo (1 - 4,99%)",80489,181518,115726,2.13321075,5.54609947,1.62382437,18.22112338,30.2103393,2.91892397,20.95022217,2,"Ciudad Autónoma de Buenos Aires",2003,"Comuna 3",187537,80489,-34.613826,-58.402686,6.386039951
4,2004,"Ciudad de Buenos Aires","Comuna 04",1226,7619,3.5362865,1.60355765,"Bajo (1 - 4,99%)",76455,215452,123727,3.57595971,10.69125629,5.11019554,31.70230855,48.39709633,4.17756022,32.94029939,2,"Ciudad Autónoma de Buenos Aires",2004,"Comuna 4",218245,76455,-34.642292,-58.38886,21.69440983
5,2005,"Ciudad de Buenos Aires","Comuna 05",217,1271,0.72623592,0.28238295,"Muy bajo (0 - 0,99%)",76846,175012,111960,1.06967181,3.2649715,1.0983005,15.34757827,25.82827994,2.18956358,14.06015962,2,"Ciudad Autónoma de Buenos Aires",2005,"Comuna 5",179005,76846,-34.617353,-58.420607,6.659799241
6,2006,"Ciudad de Buenos Aires","Comuna 06",72,434,0.25181171,0.09575869,"Muy bajo (0 - 0,99%)",75189,172351,108875,0.51337297,1.314022,0.52667278,11.3208049,19.33660509,1.66279561,8.82278001,2,"Ciudad Autónoma de Buenos Aires",2006,"Comuna 6",176076,75189,-34.616826,-58.443603,6.850948174
7,2007,"Ciudad de Buenos Aires","Comuna 07",754,4439,2.04998661,0.92534639,"Bajo (1 - 4,99%)",81483,216538,126603,2.49131721,6.98550618,2.161187,21.17742351,34.83180541,3.36353911,26.05229144,2,"Ciudad Autónoma de Buenos Aires",2007,"Comuna 7",220591,81483,-34.63654,-58.451924,12.42512851
8,2008,"Ciudad de Buenos Aires","Comuna 08",1388,8689,4.65147403,2.38471583,"Bajo (1 - 4,99%)",58204,186801,97359,5.07181637,15.67589856,6.32946189,42.12425263,62.22424576,5.44901907,45.67536587,2,"Ciudad Autónoma de Buenos Aires",2008,"Comuna 8",187237,58204,-34.674505,-58.462084,22.30159147
9,2009,"Ciudad de Buenos Aires","Comuna 09",288,1953,1.22252756,0.50977963,"Bajo (1 - 4,99%)",56495,159751,89956,1.43021506,3.44809275,1.9169838,28.46800602,44.54376493,3.58763058,25.44507593,2,"Ciudad Autónoma de Buenos Aires",2009,"Comuna 9",161797,56495,-34.651716,-58.499097,16.50234682
10,2010,"Ciudad de Buenos Aires","Comuna 10",149,911,0.55731266,0.24246172,"Muy bajo (0 - 0,99%)",61453,163463,96695,0.87872032,1.91853937,1.01541015,20.552292,33.5280621,2.69267757,19.75535021,2,"Ciudad Autónoma de Buenos Aires",2010,"Comuna 10",166022,61453,-34.627828,-58.502834,12.63961048
11,2011,"Ciudad de Buenos Aires","Comuna 11",90,596,0.32149831,0.12594458,"Muy bajo (0 - 0,99%)",71460,185382,110999,0.5429611,1.37419535,0.87881332,17.17184439,28.94766303,2.01336778,14.51417111,2,"Ciudad Autónoma de Buenos Aires",2011,"Comuna 11",189832,71460,-34.606116,-58.496823,14.09131609
12,2012,"Ciudad de Buenos Aires","Comuna 12",71,473,0.23920057,0.09039174,"Muy bajo (0 - 0,99%)",78547,197742,121326,0.4023069,1.28840058,0.7880632,15.87202567,26.4236699,1.92475215,11.63048161,2,"Ciudad Autónoma de Buenos Aires",2012,"Comuna 12",200116,78547,-34.566312,-58.490417,15.56394525
13,2013,"Ciudad de Buenos Aires","Comuna 13",47,275,0.12160824,0.04676338,"Muy bajo (0 - 0,99%)",100506,226136,142937,0.39301136,1.39295166,0.47061867,8.77758542,15.03094343,1.46107882,6.92727634,2,"Ciudad Autónoma de Buenos Aires",2013,"Comuna 13",231331,100506,-34.554661,-58.454147,14.57836041
14,2014,"Ciudad de Buenos Aires","Comuna 14",85,470,0.21470697,0.08259002,"Muy bajo (0 - 0,99%)",102918,218903,142533,0.47999378,1.59350162,0.53440603,8.17738394,13.84014458,1.6894387,7.92997595,2,"Ciudad Autónoma de Buenos Aires",2014,"Comuna 14",225970,102918,-34.573901,-58.422436,15.77418988
15,2015,"Ciudad de Buenos Aires","Comuna 15",252,1550,0.8641934,0.34775409,"Muy bajo (0 - 0,99%)",72465,179358,113091,1.07500172,2.91313048,1.49865452,17.7175188,29.29552198,2.72972614,16.0663546,2,"Ciudad Autónoma de Buenos Aires",2015,"Comuna 15",182574,72465,-34.591865,-58.462809,14.32275576
16,6007,"Provincia de Buenos Aires (sin conurbano)","Adolfo Alsina",113,689,4.08296296,1.81176848,"Bajo (1 - 4,99%)",6237,16875,8966,1.2345679,6.66987334,61.77649511,62.14526215,74.36267436,5.05205144,30.64667291,6,"Buenos Aires",6007,"Adolfo Alsina",17072,6237,-37.19715,-63.055734,5881.601682
17,6014,"Provincia de Buenos Aires (sin conurbano)","Adolfo Gonzales Chaves",75,450,3.77580131,1.78613956,"Bajo (1 - 4,99%)",4199,11918,5988,1.38128126,6.62062396,59.39509407,62.18147178,73.44605859,4.93046776,30.38930854,6,"Buenos Aires",6014,"Adolfo Gonzales Chaves",12047,4199,-37.964953,-60.248503,3787.325302
18,6021,"Provincia de Buenos Aires (sin conurbano)","Alberti",43,290,2.74231678,1.12330199,"Bajo (1 - 4,99%)",3828,10575,5296,0.96656217,6.76593521,25.52246604,58.25496343,68.57366771,3.71809101,24.61047494,6,"Buenos Aires",6021,"Alberti",10654,3828,-35.037399,-60.281935,1120.829651
19,6028,"Conurbano bonaerense","Almirante Brown",8021,50909,9.25204363,5.11158694,"Moderado (5 - 9,99%)",156918,550246,282336,4.37425917,23.26310557,84.01266904,50.4894276,67.88768656,4.32636543,39.5691936,6,"Buenos Aires",6028,"Almirante Brown",552902,156918,-34.835652,-58.367491,129.09955
20,6035,"Conurbano bonaerense","Avellaneda",2697,16618,4.88592262,2.38373018,"Bajo (1 - 4,99%)",113142,340120,184769,2.19281964,9.39262166,32.66691414,38.49056937,55.43829877,3.42871786,29.87926184,6,"Buenos Aires",6035,"Avellaneda",342677,113142,-34.677494,-58.341212,57.20572769
21,6042,"Provincia de Buenos Aires (sin conurbano)","Ayacucho",188,1187,5.92197166,2.69843548,"Moderado (5 - 9,99%)",6967,20044,10121,2.35395436,5.88488589,26.42457299,64.13090283,73.01564518,5.74055666,30.16177411,6,"Buenos Aires",6042,"Ayacucho",20337,6967,-37.035506,-58.442178,6752.832617
22,6049,"Provincia de Buenos Aires (sin conurbano)","Azul",533,3516,5.47407753,2.42052679,"Moderado (5 - 9,99%)",22020,64230,32825,2.09355132,8.25158946,29.67756585,51.33969119,64.86376022,5.08314288,28.54782702,6,"Buenos Aires",6049,"Azul",65280,22020,-36.786351,-59.696285,6531.642296
